"exposure","overall_n_unexposed","overall_n_exposed","sex_unexposed","sex_exposed","first_comorbid_hosp_age_unexposed","first_comorbid_hosp_age_exposed","comorbid_hosp_end_date_year_unexposed","comorbid_hosp_end_date_year_exposed"
"Atrial fibrillation","3 822","1 274","3 000 (78.49)","1 000 (78.49)","58.52 (10.14)","58.17 (10.13)","2012.00 (7.00)","2012.00 (7.00)"
"Cancers","16 215","5 405","11 601 (71.54)","3 867 (71.54)","56.83 (9.90)","56.54 (9.90)","2011.00 (8.00)","2011.00 (8.00)"
"Circulatory system","27 267","9 089","20 934 (76.77)","6 978 (76.77)","56.12 (10.36)","55.80 (10.38)","2011.00 (7.00)","2011.00 (7.00)"
"Connective tissue disorders","498","166","294 (59.04)","98 (59.04)","48.85 (13.26)","48.87 (13.29)","2011.00 (8.00)","2011.00 (7.75)"
"Diabetes mellitus","4 944","1 648","3 672 (74.27)","1 224 (74.27)","52.63 (11.62)","52.29 (11.61)","2011.00 (7.00)","2011.00 (7.00)"
"Diverticular disease of intestine","1 020","340","687 (67.35)","229 (67.35)","55.90 (11.68)","55.82 (11.70)","2012.00 (7.00)","2012.00 (7.00)"
"Endocrine system","6 033","2 011","4 005 (66.38)","1 335 (66.38)","51.86 (11.86)","51.61 (11.86)","2011.00 (7.00)","2011.00 (7.00)"
"Epilepsy","17 560","5 854","13 045 (74.29)","4 349 (74.29)","45.85 (11.97)","45.45 (11.77)","2010.00 (8.00)","2010.00 (8.00)"
"Gastrointestinal system","26 700","8 905","18 761 (70.27)","6 258 (70.28)","45.18 (14.11)","44.73 (14.16)","2009.00 (8.00)","2009.00 (8.00)"
"Heart failure","4 743","1 581","3 690 (77.80)","1 230 (77.80)","60.12 (9.78)","59.70 (9.82)","2012.00 (6.00)","2012.00 (6.00)"
"HIV or AIDS","84","36","74 (88.10)","30 (83.33)","34.56 (9.60)","33.69 (10.25)","2010.00 (7.25)","2010.00 (7.25)"
"Hypertension","4 929","1 643","3 480 (70.60)","1 160 (70.60)","54.91 (11.06)","54.64 (11.03)","2010.00 (8.00)","2010.00 (8.00)"
"Chronic kidney disease","1 596","532","1 191 (74.62)","397 (74.62)","54.55 (12.15)","54.22 (12.07)","2011.00 (8.00)","2011.00 (8.00)"
"Chronic liver disease","18 527","6 240","12 679 (68.44)","4 275 (68.51)","46.67 (12.83)","45.39 (13.27)","2009.00 (8.00)","2009.00 (8.00)"
"Chronic pulmonary diseases","6 162","2 054","4 527 (73.47)","1 509 (73.47)","54.54 (13.06)","54.23 (12.95)","2010.00 (8.00)","2010.00 (8.00)"
"Chronic viral hepatitis","2 122","784","1 329 (62.63)","493 (62.88)","31.13 (9.04)","30.01 (9.24)","2006.00 (7.00)","2007.00 (8.00)"
"Infectious diseases","4 392","1 509","3 088 (70.31)","1 061 (70.31)","35.83 (12.09)","34.68 (12.46)","2008.00 (8.00)","2008.00 (8.00)"
"Inflammatory bowel disease","561","187","384 (68.45)","128 (68.45)","44.26 (14.65)","44.39 (14.61)","2011.00 (9.00)","2011.00 (9.00)"
"Ischemic heart disease","9 075","3 025","7 443 (82.02)","2 481 (82.02)","56.71 (9.67)","56.36 (9.76)","2011.00 (7.00)","2011.00 (7.00)"
"Multiple sclerosis","333","111","159 (47.75)","53 (47.75)","41.20 (10.99)","41.41 (10.98)","2010.00 (8.00)","2010.00 (7.50)"
"Neurological system","18 138","6 046","13 389 (73.82)","4 463 (73.82)","45.89 (12.11)","45.60 (11.93)","2010.00 (8.00)","2010.00 (8.00)"
"Parkinson's disease","354","122","240 (67.80)","83 (68.03)","61.35 (10.56)","59.91 (11.46)","2011.00 (7.00)","2011.00 (6.75)"
"Peripheral artery occlusive disease","6 222","2 074","4 980 (80.04)","1 660 (80.04)","58.18 (9.66)","57.75 (9.70)","2011.00 (7.00)","2011.00 (7.00)"
"Prostate disorders","1 630","544","1 630 (100.00)","544 (100.00)","61.36 (7.37)","60.96 (7.58)","2011.00 (8.00)","2011.00 (8.00)"
"Stroke","9 852","3 284","7 413 (75.24)","2 471 (75.24)","57.75 (10.27)","57.36 (10.26)","2011.00 (8.00)","2011.00 (8.00)"
"Thyroid disorder","1 119","373","351 (31.37)","117 (31.37)","48.93 (12.46)","48.66 (12.49)","2010.00 (7.00)","2010.00 (7.00)"
"Tuberculosis","1 364","456","1 145 (83.94)","383 (83.99)","47.88 (10.78)","47.43 (10.73)","2009.00 (7.00)","2009.00 (7.00)"
"Ulcer or chronic gastritis","6 321","2 107","4 731 (74.85)","1 577 (74.85)","50.75 (12.01)","50.36 (11.92)","2010.00 (8.00)","2010.00 (8.00)"
"Urogenital system","3 162","1 054","2 757 (87.19)","919 (87.19)","57.76 (10.69)","57.48 (10.63)","2011.00 (7.00)","2011.00 (7.00)"
