"exposure","Unadjusted","Adjusted"
"Atrial fibrillation","2.43 (2.17; 2.72)","2.58 (2.30; 2.90)"
"Cancers","1.70 (1.63; 1.77)","1.73 (1.67; 1.81)"
"Circulatory system","2.16 (2.08; 2.25)","2.24 (2.16; 2.34)"
"Connective tissue disorders","2.68 (1.79; 4.02)","2.64 (1.76; 3.95)"
"Diabetes mellitus","1.85 (1.69; 2.03)","1.88 (1.72; 2.06)"
"Diverticular disease of intestine","2.62 (2.02; 3.39)","2.77 (2.14; 3.60)"
"Endocrine system","2.04 (1.87; 2.23)","2.10 (1.92; 2.30)"
"Epilepsy","1.41 (1.34; 1.48)","1.44 (1.37; 1.51)"
"Gastrointestinal system","2.02 (1.94; 2.10)","2.20 (2.11; 2.29)"
"Heart failure","1.47 (1.36; 1.59)","1.49 (1.38; 1.61)"
"HIV or AIDS","1.14 (0.49; 2.66)","1.26 (0.53; 2.98)"
"Hypertension","2.37 (2.14; 2.61)","2.49 (2.26; 2.76)"
"Chronic kidney disease","1.45 (1.27; 1.66)","1.44 (1.26; 1.65)"
"Chronic liver disease","1.17 (1.12; 1.22)","1.25 (1.20; 1.30)"
"Chronic pulmonary diseases","1.49 (1.39; 1.61)","1.57 (1.46; 1.69)"
"Chronic viral hepatitis","1.85 (1.42; 2.40)","2.03 (1.56; 2.64)"
"Infectious diseases","1.44 (1.26; 1.65)","1.63 (1.42; 1.87)"
"Inflammatory bowel disease","1.60 (1.09; 2.35)","1.69 (1.15; 2.49)"
"Ischemic heart disease","2.10 (1.96; 2.26)","2.20 (2.05; 2.36)"
"Multiple sclerosis","3.99 (1.92; 8.31)","3.84 (1.85; 8.01)"
"Neurological system","1.60 (1.52; 1.68)","1.63 (1.55; 1.72)"
"Parkinson's disease","1.10 (0.81; 1.49)","1.08 (0.80; 1.47)"
"Peripheral artery occlusive disease","1.56 (1.45; 1.68)","1.63 (1.51; 1.75)"
"Prostate disorders","2.45 (2.02; 2.98)","2.58 (2.12; 3.14)"
"Stroke","1.69 (1.59; 1.79)","1.73 (1.63; 1.83)"
"Thyroid disorder","3.32 (2.33; 4.72)","3.59 (2.52; 5.11)"
"Tuberculosis","1.57 (1.33; 1.86)","1.63 (1.38; 1.93)"
"Ulcer or chronic gastritis","1.71 (1.58; 1.85)","1.78 (1.65; 1.93)"
"Urogenital system","2.06 (1.84; 2.31)","2.09 (1.87; 2.35)"
